song,path,cluster
了解(Knowing) - 余佳运.mp3,./Dataset\了解(Knowing) - 余佳运.mp3,1
于是 - 郑润泽.mp3,./Dataset\于是 - 郑润泽.mp3,0
与我无关 - 阿冗.mp3,./Dataset\与我无关 - 阿冗.mp3,0
傻66美77之歌 - 花飞飞.mp3,./Dataset\傻66美77之歌 - 花飞飞.mp3,0
你不在的日子里 (Demo) - 葛羽瞳.mp3,./Dataset\你不在的日子里 (Demo) - 葛羽瞳.mp3,0
一个人想着一个人 - 如懿.mp3,./Dataset\一个人想着一个人 - 如懿.mp3,0
伪装 - 大壮.mp3,./Dataset\伪装 - 大壮.mp3,0
你一定能够成为你想要去成为的人 - 姜云升.mp3,./Dataset\你一定能够成为你想要去成为的人 - 姜云升.mp3,0
体面 (Live) - 于文文.mp3,./Dataset\体面 (Live) - 于文文.mp3,0
今天没回家 - 陶喆.mp3,./Dataset\今天没回家 - 陶喆.mp3,1
你的前程繁花似锦 - 汉生.mp3,./Dataset\你的前程繁花似锦 - 汉生.mp3,1
你在听吗 - EnjiA (魏恩佳).mp3,./Dataset\你在听吗 - EnjiA (魏恩佳).mp3,0
借口 - 许成成.mp3,./Dataset\借口 - 许成成.mp3,0
关于我和你 - 余佳运.mp3,./Dataset\关于我和你 - 余佳运.mp3,0
光棍 - 胡歌.mp3,./Dataset\光棍 - 胡歌.mp3,1
公路之歌 - 痛仰乐队.mp3,./Dataset\公路之歌 - 痛仰乐队.mp3,2
再一起 - 余佳运.mp3,./Dataset\再一起 - 余佳运.mp3,0
再见 - Matt吕彦良.mp3,./Dataset\再见 - Matt吕彦良.mp3,0
凄美地 - 郭顶.mp3,./Dataset\凄美地 - 郭顶.mp3,2
别离 - 何秋亊.mp3,./Dataset\别离 - 何秋亊.mp3,0
凌晨两点半 - 于佰万.mp3,./Dataset\凌晨两点半 - 于佰万.mp3,0
后继者 - 苏晗.mp3,./Dataset\后继者 - 苏晗.mp3,0
删了吧 - 郁可唯.mp3,./Dataset\删了吧 - 郁可唯.mp3,0
哈哈哈 - 孟慧圆.mp3,./Dataset\哈哈哈 - 孟慧圆.mp3,0
向云端 - 小霞_海洋Bo.mp3,./Dataset\向云端 - 小霞_海洋Bo.mp3,0
和你 - 余佳运.mp3,./Dataset\和你 - 余佳运.mp3,0
及时止损 - Toppop.mp3,./Dataset\及时止损 - Toppop.mp3,0
可愛くてごめん (feat. かぴ) - HoneyWorks_かぴ.mp3,./Dataset\可愛くてごめん (feat. かぴ) - HoneyWorks_かぴ.mp3,1
埋葬的回忆 - 苏星婕.mp3,./Dataset\埋葬的回忆 - 苏星婕.mp3,2
开心往前飞 - 长乐Raku.mp3,./Dataset\开心往前飞 - 长乐Raku.mp3,1
哪里都是你 - 队长.mp3,./Dataset\哪里都是你 - 队长.mp3,0
回到夏天 - 傲七爷（江偌绮）_小田音乐社.mp3,./Dataset\回到夏天 - 傲七爷（江偌绮）_小田音乐社.mp3,0
干物妹！小埋（翻自 田中爱美） - RCVO粤语配音组.mp3,./Dataset\干物妹！小埋（翻自 田中爱美） - RCVO粤语配音组.mp3,1
外白渡桥 - 黄星瑞RA.mp3,./Dataset\外白渡桥 - 黄星瑞RA.mp3,0
快乐小孩 - 潘延.mp3,./Dataset\快乐小孩 - 潘延.mp3,0
大眠 - 王心凌.mp3,./Dataset\大眠 - 王心凌.mp3,0
小芳 (Live) - 李荣浩.mp3,./Dataset\小芳 (Live) - 李荣浩.mp3,0
寂寞的季节 (Live) - 陶喆.mp3,./Dataset\寂寞的季节 (Live) - 陶喆.mp3,0
安和桥 - 宇西.mp3,./Dataset\安和桥 - 宇西.mp3,0
如果呢 - 郑润泽.mp3,./Dataset\如果呢 - 郑润泽.mp3,0
太美丽 (Live) - 陶喆.mp3,./Dataset\太美丽 (Live) - 陶喆.mp3,0
对的人 - 余佳运.mp3,./Dataset\对的人 - 余佳运.mp3,1
小镇姑娘 (Live) - 陶喆.mp3,./Dataset\小镇姑娘 (Live) - 陶喆.mp3,2
就是爱你 (Live) - 陶喆.mp3,./Dataset\就是爱你 (Live) - 陶喆.mp3,2
少女作妖日记 - 纳豆nado.mp3,./Dataset\少女作妖日记 - 纳豆nado.mp3,1
孤身 - 徐秉龙.mp3,./Dataset\孤身 - 徐秉龙.mp3,2
岁月神偷 - 汪苏泷_刘乐瑶.mp3,./Dataset\岁月神偷 - 汪苏泷_刘乐瑶.mp3,1
小鸡哔哔 - 洛天依Official.mp3,./Dataset\小鸡哔哔 - 洛天依Official.mp3,1
总有一天你会出现在我身边 - 棱镜乐队.mp3,./Dataset\总有一天你会出现在我身边 - 棱镜乐队.mp3,0
快乐指南 - 孙悦.mp3,./Dataset\快乐指南 - 孙悦.mp3,1
恋愛サーキュレーション - 花澤香菜.mp3,./Dataset\恋愛サーキュレーション - 花澤香菜.mp3,1
恰似你的温柔 - 岩贵.mp3,./Dataset\恰似你的温柔 - 岩贵.mp3,0
悬溺 - 葛东琪.mp3,./Dataset\悬溺 - 葛东琪.mp3,0
悟空 - 戴荃.mp3,./Dataset\悟空 - 戴荃.mp3,0
我们的明天 - 鹿晗.mp3,./Dataset\我们的明天 - 鹿晗.mp3,0
我们的故事 - Tension_陶喆.mp3,./Dataset\我们的故事 - Tension_陶喆.mp3,0
我恋爱了·2023 - 火鸡.mp3,./Dataset\我恋爱了·2023 - 火鸡.mp3,2
我用什么把你留住 - 福禄寿FloruitShow.mp3,./Dataset\我用什么把你留住 - 福禄寿FloruitShow.mp3,0
我又想你了 - 陈信喆.mp3,./Dataset\我又想你了 - 陈信喆.mp3,0
我可以明目张胆地想你 - Toppop.mp3,./Dataset\我可以明目张胆地想你 - Toppop.mp3,0
我想 - 余佳运.mp3,./Dataset\我想 - 余佳运.mp3,0
我记得 - 赵雷.mp3,./Dataset\我记得 - 赵雷.mp3,0
搁浅 - 文太Vent.T.mp3,./Dataset\搁浅 - 文太Vent.T.mp3,0
斑马斑马 - 房东的猫.mp3,./Dataset\斑马斑马 - 房东的猫.mp3,0
昨日青空 - 尤长靖.mp3,./Dataset\昨日青空 - 尤长靖.mp3,0
日不落 - 蔡依林.mp3,./Dataset\日不落 - 蔡依林.mp3,1
杀死那个石家庄人 - 万能青年旅店.mp3,./Dataset\杀死那个石家庄人 - 万能青年旅店.mp3,0
晚安 - 颜人中.mp3,./Dataset\晚安 - 颜人中.mp3,0
月亮代表我的心 - 张国荣.mp3,./Dataset\月亮代表我的心 - 张国荣.mp3,0
找一个懂我的人去春游 - 黄誉博.mp3,./Dataset\找一个懂我的人去春游 - 黄誉博.mp3,2
沦陷 - 李学仕.mp3,./Dataset\沦陷 - 李学仕.mp3,0
最好的都给你 - 余佳运.mp3,./Dataset\最好的都给你 - 余佳运.mp3,0
暗恋是一个人的兵荒马乱 - Toppop.mp3,./Dataset\暗恋是一个人的兵荒马乱 - Toppop.mp3,0
消失的昨天 - 华晨宇.mp3,./Dataset\消失的昨天 - 华晨宇.mp3,0
浪漫爱 - 刘瑞琦.mp3,./Dataset\浪漫爱 - 刘瑞琦.mp3,1
提灯定损 - Toppop.mp3,./Dataset\提灯定损 - Toppop.mp3,0
故乡 - 许巍.mp3,./Dataset\故乡 - 许巍.mp3,0
深夜emo - Toppop.mp3,./Dataset\深夜emo - Toppop.mp3,0
无期 - 光头华夏.mp3,./Dataset\无期 - 光头华夏.mp3,0
普通朋友(Live) - 陶喆.mp3,./Dataset\普通朋友(Live) - 陶喆.mp3,1
滥俗的歌 - 钟楚曦.mp3,./Dataset\滥俗的歌 - 钟楚曦.mp3,2
普通朋友 (Live) - 陶喆.mp3,./Dataset\普通朋友 (Live) - 陶喆.mp3,1
消愁 - 毛不易.mp3,./Dataset\消愁 - 毛不易.mp3,0
水星记 - 郭顶.mp3,./Dataset\水星记 - 郭顶.mp3,0
烟火里的尘埃 - 华晨宇.mp3,./Dataset\烟火里的尘埃 - 华晨宇.mp3,0
流沙(Live) - 陶喆.mp3,./Dataset\流沙(Live) - 陶喆.mp3,0
漠河舞厅·2022 - 柳爽.mp3,./Dataset\漠河舞厅·2022 - 柳爽.mp3,0
爱我的人 - 丁世光_MOE.莫维蒂.mp3,./Dataset\爱我的人 - 丁世光_MOE.莫维蒂.mp3,0
热恋舞会 - 赵晨唏_吴三畏_珑熹音上.mp3,./Dataset\热恋舞会 - 赵晨唏_吴三畏_珑熹音上.mp3,2
爱丫爱丫 - By2.mp3,./Dataset\爱丫爱丫 - By2.mp3,1
爱要坦荡荡 - 萧潇.mp3,./Dataset\爱要坦荡荡 - 萧潇.mp3,1
爱我还是他 (Live) - 陶喆.mp3,./Dataset\爱我还是他 (Live) - 陶喆.mp3,0
独行侠+爱如潮水（remix） - sea蕊_吴炳文.mp3,./Dataset\独行侠+爱如潮水（remix） - sea蕊_吴炳文.mp3,1
爱，很简单(Remix) (Live) - 陶喆.mp3,./Dataset\爱，很简单(Remix) (Live) - 陶喆.mp3,0
皇家可颂 - 娅娅酱.mp3,./Dataset\皇家可颂 - 娅娅酱.mp3,0
猪猪侠 - 陈洁丽.mp3,./Dataset\猪猪侠 - 陈洁丽.mp3,1
病 - 犬儒乐队.mp3,./Dataset\病 - 犬儒乐队.mp3,1
生而为人 - 尚士达.mp3,./Dataset\生而为人 - 尚士达.mp3,0
白月光的杀伤力 - Toppop.mp3,./Dataset\白月光的杀伤力 - Toppop.mp3,0
甜酒沼泽 - 雪球.mp3,./Dataset\甜酒沼泽 - 雪球.mp3,1
真的吗 - Matt吕彦良.mp3,./Dataset\真的吗 - Matt吕彦良.mp3,0
第三人称 - 买辣椒也用券.mp3,./Dataset\第三人称 - 买辣椒也用券.mp3,0
秋风 - 四熹丸子.mp3,./Dataset\秋风 - 四熹丸子.mp3,0
算了吧 - Aioz_刘思达LOFTHESTAR_张天枢.mp3,./Dataset\算了吧 - Aioz_刘思达LOFTHESTAR_张天枢.mp3,0
纯爱战士应声倒地 - Toppop.mp3,./Dataset\纯爱战士应声倒地 - Toppop.mp3,0
船 - 鹭卓.mp3,./Dataset\船 - 鹭卓.mp3,0
黑色柳丁(Live) - 胡彦斌_陶喆.mp3,./Dataset\黑色柳丁(Live) - 胡彦斌_陶喆.mp3,0
真的走了 - 徐真真.mp3,./Dataset\真的走了 - 徐真真.mp3,1
莫问归期 - 孙倩.mp3,./Dataset\莫问归期 - 孙倩.mp3,0
西湖 - 痛仰乐队.mp3,./Dataset\西湖 - 痛仰乐队.mp3,1
那个女孩 - 宝石Gem.mp3,./Dataset\那个女孩 - 宝石Gem.mp3,1
谢谢你来过 - 赫兹乐队.mp3,./Dataset\谢谢你来过 - 赫兹乐队.mp3,0
轨迹 - D.Joey.mp3,./Dataset\轨迹 - D.Joey.mp3,1
花海 - 徐小维.mp3,./Dataset\花海 - 徐小维.mp3,0
请与自己握手言和 - Toppop.mp3,./Dataset\请与自己握手言和 - Toppop.mp3,0
若把你 - Kirsty刘瑾睿.mp3,./Dataset\若把你 - Kirsty刘瑾睿.mp3,0
醉清风 (2005版) - 弦子.mp3,./Dataset\醉清风 (2005版) - 弦子.mp3,0
超喜欢你 - 沈以诚.mp3,./Dataset\超喜欢你 - 沈以诚.mp3,1
高老庄（方言完整版） - Nada_韩璧彤.mp3,./Dataset\高老庄（方言完整版） - Nada_韩璧彤.mp3,2
走走走 - Matt吕彦良.mp3,./Dataset\走走走 - Matt吕彦良.mp3,1
还是分开 - 张叶蕾.mp3,./Dataset\还是分开 - 张叶蕾.mp3,0
退后 - D thing.mp3,./Dataset\退后 - D thing.mp3,0
遗憾意难平 - Toppop.mp3,./Dataset\遗憾意难平 - Toppop.mp3,0
阴霾 - 高旭_Subs 张毅成.mp3,./Dataset\阴霾 - 高旭_Subs 张毅成.mp3,1
阿拉斯加海湾 - 蓝心羽.mp3,./Dataset\阿拉斯加海湾 - 蓝心羽.mp3,0
说散就散 - 艾福杰尼_黄旭_田羽生.mp3,./Dataset\说散就散 - 艾福杰尼_黄旭_田羽生.mp3,1
行李 - 丁世光.mp3,./Dataset\行李 - 丁世光.mp3,0
蝴蝶山 - 丁世光.mp3,./Dataset\蝴蝶山 - 丁世光.mp3,1
谁 (Live版) - 廖俊涛.mp3,./Dataset\谁 (Live版) - 廖俊涛.mp3,0
飞机场的10_30(Live) - 陶喆.mp3,./Dataset\飞机场的10_30(Live) - 陶喆.mp3,1
马德里不思议 - 蔡依林.mp3,./Dataset\马德里不思议 - 蔡依林.mp3,1
高阶萌妹成长指南 - Hanser.mp3,./Dataset\高阶萌妹成长指南 - Hanser.mp3,1
黑色柳丁(Live) - 陶喆.mp3,./Dataset\黑色柳丁(Live) - 陶喆.mp3,0
默认(十年版) - 金池.mp3,./Dataset\默认(十年版) - 金池.mp3,0
鼓楼 - 赵雷.mp3,./Dataset\鼓楼 - 赵雷.mp3,2
귀요미송 - Hari.mp3,./Dataset\귀요미송 - Hari.mp3,2
우주를 줄게 - 小白受.mp3,./Dataset\우주를 줄게 - 小白受.mp3,1
